priority,employer,segment,city_scope,why_contact,initial_offer,verification_before_contact
P0,Native Camp,online education/language,remote/Serbia,language-based roles fit multilingual candidates,free verified vacancy,official site/careers
P0,Fortrade Ltd.,finance/customer support,Belgrade/remote,multilingual support/sales potential,vacancy + distribution,official site/careers
P0,Kapital RS INC a.d.,finance/customer support,Serbia,multilingual support/sales potential,vacancy + distribution,official site/careers
P0,A1 Srbija,telecom,Serbia,support and retail hiring needs,candidate segment pilot,official careers
P0,CETIN d.o.o. Beograd,telecom infrastructure,Serbia,operations/support hiring,founding employer pilot,official company page
P0,Banca Intesa a.d.,banking,Serbia,operations/support/branch roles,verified vacancy pilot,official careers
P0,ALTA banka,banking,Serbia,customer-facing roles,verified vacancy pilot,official careers
P0,Generali Osiguranje Srbija,insurance,Serbia,sales/support roles,verified vacancy pilot,official careers
P0,Wiener Städtische osiguranje,insurance,Serbia,sales/support roles,verified vacancy pilot,official careers
P0,Lidl Srbija,retail,Serbia,high-volume retail hiring,basic verified vacancy,official careers
P0,Delhaize Serbia,retail,Serbia,high-volume retail hiring,basic verified vacancy,official careers
P0,Univerexport,retail,Vojvodina/Serbia,retail hiring,basic verified vacancy,official careers
P0,AmRest,hospitality/food service,Serbia,restaurant hiring,bulk vacancy pilot,official careers
P0,Coca-Cola HBC,FMCG/distribution,Serbia,sales/logistics roles,candidate shortlist pilot,official careers
P0,Atlantic Grupa,FMCG/distribution,Serbia,sales/logistics/admin roles,candidate shortlist pilot,official careers
P0,Nelt Co,logistics/distribution,Serbia,warehouse/logistics hiring,assisted hiring pilot,official careers
P0,DExpress,delivery/logistics,Serbia,courier/logistics roles,basic verified vacancy,official site
P0,Bexexpress,delivery/logistics,Serbia,courier/warehouse roles,basic verified vacancy,official site
P0,AKS Express Kurir,delivery/logistics,Serbia,courier/warehouse roles,basic verified vacancy,official site
P1,Bosch Srbija,manufacturing/tech,Serbia,skilled/technical/operations roles,segment-specific pilot,official careers
P1,Hemofarm AD,pharma/manufacturing,Serbia,production/support roles,segment-specific pilot,official careers
P1,NIS,energy/retail/operations,Serbia,large employer/operations roles,employer brand pilot,official careers
P1,CREATEQ,IT/services,Serbia,digital and tech roles,junior/digital candidate pilot,official site
P1,Comtrade Group,IT/services,Serbia,tech and services roles,junior/digital candidate pilot,official careers
P1,HTEC Group,IT/services,Serbia,tech hiring,junior/digital candidate pilot,official careers
P1,Vega IT,IT/services,Serbia,tech hiring,junior/digital candidate pilot,official careers
P1,Levi9 Serbia,IT/services,Serbia,tech hiring,junior/digital candidate pilot,official careers
P1,Endava Serbia,IT/services,Serbia,tech hiring,junior/digital candidate pilot,official careers
P1,Quantox Technology,IT/services,Serbia,tech/digital hiring,junior/digital candidate pilot,official careers
P1,Localizely,localization SaaS,Belgrade/remote,language/localization relevance,multilingual candidate pilot,official site
P1,SupportYourApp,customer support outsourcing,global/remote,multilingual support fit,multilingual candidate pilot,official site
P1,Maple Media doo Beograd,digital/media,Belgrade,digital roles,verified vacancy pilot,official site
P1,Squadra Group d.o.o.,business/services,Serbia,listed active employer; verify category,founding employer pilot,official site
P1,Mozzart d.o.o.,retail/service,Serbia,customer-facing roles,basic verified vacancy,official careers
P2,Balkan Bet d.o.o.,retail/service,Serbia,customer-facing roles; compliance review needed,only after legal review,official careers + compliance review
P2,Hyatt Regency Belgrade,hospitality,Belgrade,hotel service roles,hospitality hiring pilot,official careers
P2,Hilton Belgrade,hospitality,Belgrade,hotel service roles,hospitality hiring pilot,official careers
P2,Metropol Palace Belgrade,hospitality,Belgrade,hotel service roles,hospitality hiring pilot,official careers
P2,Radisson Collection Old Mill Belgrade,hospitality,Belgrade,hotel service roles,hospitality hiring pilot,official careers
P2,Mona Plaza Hotel,hospitality,Belgrade,hotel service roles,hospitality hiring pilot,official careers
P2,STRABAG Serbia,construction,Serbia,skilled trade/construction hiring,skilled worker pilot,official careers
P2,Energoprojekt,construction/engineering,Serbia,engineering/skilled roles,skilled/engineering candidate pilot,official careers
P2,Delta Real Estate,real estate/services,Serbia,operations/admin/service roles,verified vacancy pilot,official site
